name,name_en,name_local,bbox,center_lat,center_lon,osm_id,admin_level,ref,type
Chaloem Phra Kiat District,Chaloem Phra Kiat District,อำเภอเฉลิมพระเกียรติ,"102.2057028,14.8673484,102.3976513,15.1200105",0,0,17824172,6,,boundary
Ban Haet District,Ban Haet District,อำเภอบ้านแฮด,"102.6625829,16.1362992,102.8572414,16.2987858",0,0,17847683,6,,boundary
Hua Hin District,Hua Hin District,อำเภอหัวหิน,"99.400994,12.344975,99.9851984,12.6446011",0,0,18252311,6,,boundary
Pang Sila Thong District,Pang Sila Thong District,อำเภอปางศิลาทอง,"99.0741316,15.8845783,99.6650318,16.1657848",0,0,18323240,6,,boundary
Khlong Khlung District,Khlong Khlung District,อำเภอคลองขลุง,"99.4760959,16.1215946,99.8959497,16.3486266",0,0,18324323,6,,boundary
Khlong Lan District,Khlong Lan District,อำเภอคลองลาน,"99.0163081,16.0304584,99.4572482,16.4864238",0,0,18334550,6,,boundary
Kosamphi Nakhon District,Kosamphi Nakhon District,อำเภอโกสัมพีนคร,"99.0304456,16.3891537,99.4755869,16.7710399",0,0,18336933,6,,boundary
Sai Thong Watthana District,Sai Thong Watthana District,อำเภอทรายทองวัฒนา,"99.7582575,16.236483,100.0018487,16.3634064",0,0,18337613,6,,boundary
Bueng Samakkhi District,Bueng Samakkhi District,อำเภอบึงสามัคคี,"99.8636884,16.1170753,100.0470903,16.3428309",0,0,18337683,6,,boundary
Sai Ngam District,Sai Ngam District,อำเภอไทรงาม,"99.7031035,16.3454485,100.0346624,16.5439554",0,0,18338444,6,,boundary
Lan Krabue District,Lan Krabue District,อำเภอลานกระบือ,"99.7229746,16.496839,100.0346624,16.7352719",0,0,18338574,6,,boundary
Khanu Woralaksaburi District,Khanu Woralaksaburi District,อำเภอขาณุวรลักษบุรี,"99.3333104,15.8553068,99.9843323,16.1686058",0,0,18338692,6,,boundary
Phran Kratai District,Phran Kratai District,อำเภอพรานกระต่าย,"99.2915516,16.5195877,99.760482,16.9105826",0,0,18343166,6,,boundary
Mueang Kamphaeng Phet District,Mueang Kamphaeng Phet District,อำเภอเมืองกำแพงเพชร,"99.2287933,16.146286,99.7717008,16.6934903",0,0,18343549,6,,boundary
Mae Wong District,Mae Wong District,อำเภอแม่วงก์,"99.0861438,15.7151168,99.6979331,15.9483828",0,0,18352529,6,,boundary
Lat Yao District,Lat Yao District,อำเภอลาดยาว,"99.6191587,15.6171532,99.945843,15.9274088",0,0,18352607,6,,boundary
Bueng Na Rang District,Bueng Na Rang District,อำเภอบึงนาราง,"100.0211993,16.0706117,100.2637084,16.2757261",0,0,18478027,6,,boundary
Pho Prathap Chang District,Pho Prathap Chang District,อำเภอโพธิ์ประทับช้าง,"100.0191158,16.2362137,100.3329874,16.4054287",0,0,18478044,6,,boundary
Sam Ngam District,Sam Ngam District,อำเภอสามง่าม,"99.9836919,16.3128629,100.256502,16.6484339",0,0,18478241,6,,boundary
Wachirabarami District,Wachirabarami District,อำเภอวชิรบารมี,"99.9938311,16.4350065,100.1960249,16.6140719",0,0,18478284,6,,boundary
Chanuman District,Chanuman District,อำเภอชานุมาน,"104.7655144,15.9978018,105.0602608,16.2843705",0,0,18905489,6,,boundary
Hua Taphan District,Hua Taphan District,อำเภอหัวตะพาน,"104.4188951,15.5422226,104.6374325,15.7870755",0,0,18906015,6,,boundary
Bacho,Bacho,,"101.5736641,6.4715384,101.7271502,6.6353537",0,0,18906061,6,,boundary
Lue Amnat District,Lue Amnat District,อำเภอลืออำนาจ,"104.5899431,15.5936555,104.8137161,15.8011958",0,0,18906062,6,,boundary
Lamae District,Lamae District,อำเภอละแม,"98.8786437,9.6715734,99.1596393,9.8497188",0,0,18906198,6,,boundary
Lang Suan District,Lang Suan District,อำเภอหลังสวน,"98.8817209,9.7925475,99.1907852,10.074358",0,0,18906270,6,,boundary
Chiang Kham District,Chiang Kham District,อำเภอเชียงคำ,"100.1421721,19.332882,100.603444,19.6349181",0,0,18906272,6,,boundary
Chiang Muan District,Chiang Muan District,อำเภอเชียงม่วน,"100.1053703,18.8059555,100.5045231,19.0703401",0,0,18906306,6,,boundary
Chun District,Chun District,อำเภอจุน,"100.050567,19.1546093,100.264595,19.554542",0,0,18906314,6,,boundary
Dok Khamtai District,Dok Khamtai District,อำเภอดอกคำใต้,"99.9203244,18.8085514,100.1573401,19.4450682",0,0,18906391,6,,boundary
Mueang Amnat Charoen District,Mueang Amnat Charoen District,อำเภอเมืองอำนาจเจริญ,"104.4312691,15.7336928,104.8245565,16.0161978",0,0,18906414,6,,boundary
Mae Chai District,Mae Chai District,อำเภอแม่ใจ,"99.68252,19.2900607,99.9200004,19.4552416",0,0,18906445,6,,boundary
Phu Kamyao District,Phu Kamyao District,อำเภอภูกามยาว,"99.9131522,19.2046942,100.0265411,19.4356687",0,0,18906483,6,,boundary
Pathum Ratchawongsa District,Pathum Ratchawongsa District,อำเภอปทุมราชวงศา,"104.7837328,15.7485847,105.0259059,16.0221446",0,0,18906491,6,,boundary
Phu Sang District,Phu Sang District,อำเภอภูซาง,"100.2491798,19.5467436,100.491186,19.7360621",0,0,18906519,6,,boundary
Pong District,Pong District,อำเภอปง,"100.1070001,19.006756,100.6289843,19.4023222",0,0,18906633,6,,boundary
Phana District,Phana District,อำเภอพนา,"104.7763789,15.5371061,104.9335412,15.7862492",0,0,18906637,6,,boundary
Senangkhanikhom District,Senangkhanikhom District,อำเภอเสนางคนิคม,"104.5151762,15.9653671,104.8398315,16.123524",0,0,18906652,6,,boundary
Chanae,Chanae,,"101.470586,5.889718,101.8083007,6.1903476",0,0,18906764,6,,boundary
Mueang Chumphon District,Mueang Chumphon District,อำเภอเมืองชุมพร,"98.8839789,10.3111869,99.4227031,10.5918549",0,0,18906765,6,,boundary
Cho-Airong,Cho-Airong,,"101.760609,6.12411,101.9180423,6.3030575",0,0,18906815,6,,boundary
Mueang Narathiwat,Mueang Narathiwat,,"101.7093126,6.2831757,101.9188822,6.5770324",0,0,18906903,6,,boundary
Ra-Ngae,Ra-Ngae,,"101.5934575,6.1154962,101.8221161,6.3711899",0,0,18906922,6,,boundary
Pathio District,Pathio District,อำเภอปะทิว,"99.2028432,10.551965,99.541358,10.9935614",0,0,18906935,6,,boundary
Rueso,Rueso,,"101.3876515,6.231203,101.6474246,6.5123735",0,0,18906936,6,,boundary
Si Sakhon,Si Sakhon,,"101.3711341,6.0534781,101.6332774,6.3273995",0,0,18906950,6,,boundary
Su-Ngai Kolok,Su-Ngai Kolok,,"101.9140519,5.9868511,102.0640134,6.1510565",0,0,18906956,6,,boundary
Mueang Ang Thong District,Mueang Ang Thong District,อำเภอเมืองอ่างทอง,"100.3863728,14.5179599,100.4958728,14.6322686",0,0,18906960,6,,boundary
Phato District,Phato District,อำเภอพะโต๊ะ,"98.6276183,9.6008767,98.9811689,10.0048344",0,0,18917835,6,,boundary
Pa Mok District,Pa Mok District,อำเภอป่าโมก,"100.399557,14.4372544,100.4977852,14.540038",0,0,18917846,6,,boundary
Pho Thong District,Pho Thong District,อำเภอโพธิ์ทอง,"100.2043089,14.602352,100.4414599,14.7574579",0,0,18917910,6,,boundary
Sawi District,Sawi District,อำเภอสวี,"98.8354089,10.054639,99.2610454,10.4341009",0,0,18917911,6,,boundary
Samko District,Samko District,อำเภอสามโก้,"100.1916355,14.5364878,100.3199275,14.6640351",0,0,18917949,6,,boundary
Sawaeng Ha District,Sawaeng Ha District,อำเภอแสวงหา,"100.2014715,14.695469,100.382146,14.8024372",0,0,18917967,6,,boundary
Ban Mo District,Ban Mo District,อำเภอบ้านหมอ,"100.6244928,14.5525979,100.8049314,14.6757928",0,0,18918055,6,,boundary
Wiset Chai Chan District,Wiset Chai Chan District,อำเภอวิเศษชัยชาญ,"100.195863,14.4802171,100.4044052,14.662864",0,0,18918086,6,,boundary
Tha Sae District,Tha Sae District,อำเภอท่าแซะ,"98.8887547,10.5365117,99.2762813,11.033942",0,0,18918147,6,,boundary
Chaloem Phra Kiat District,Chaloem Phra Kiat District,อำเภอเฉลิมพระเกียรติ,"100.8445644,14.5527168,100.9646507,14.7466898",0,0,18918187,6,,boundary
Thai Charoen District,Thai Charoen District,อำเภอไทยเจริญ,"104.3206223,15.9711682,104.5426241,16.2206111",0,0,18918224,6,,boundary
Thung Tako District,Thung Tako District,อำเภอทุ่งตะโก,"98.9203181,10.0128204,99.2158895,10.1850704",0,0,18918241,6,,boundary
Kaeng Khoi District,Kaeng Khoi District,อำเภอแก่งคอย,"100.935059,14.3423758,101.2428317,14.8103074",0,0,18918242,6,,boundary
Don Chan District,Don Chan District,อำเภอดอนจาน,"103.5968861,16.3843841,103.8320048,16.5689283",0,0,18918307,6,,boundary
Chaiyo District,Chaiyo District,อำเภอไชโย,"100.419783,14.6244293,100.5082834,14.7286079",0,0,18918316,6,,boundary
Sai Mun District,Sai Mun District,อำเภอทรายมูล,"104.0934313,15.8873647,104.3379079,16.0975931",0,0,18918322,6,,boundary
Ban Khok District,Ban Khok District,อำเภอบ้านโคก,"100.9056799,17.8659185,101.19266,18.38126",0,0,18918344,6,,boundary
Muak Lek District,Muak Lek District,อำเภอมวกเหล็ก,"101.072279,14.4711043,101.4547357,15.0469713",0,0,18918368,6,,boundary
Fak Tha District,Fak Tha District,อำเภอฟากท่า,"100.717037,17.8556568,101.0362748,18.174183",0,0,18918377,6,,boundary
Hankha District,Hankha District,อำเภอหันคา,"99.7716654,14.9065989,100.0925356,15.157784",0,0,18918380,6,,boundary
Mueang Saraburi,Mueang Saraburi,อำเภอเมืองสระบุรี,"100.8445845,14.4177604,101.0015278,14.5789033",0,0,18918381,6,,boundary
Huai Mek District,Huai Mek District,อำเภอห้วยเม็ก,"103.1448419,16.4876374,103.37462,16.7711229",0,0,18918396,6,,boundary
Laplae District,Laplae District,อำเภอลับแล,"99.8944913,17.4801068,100.1036049,17.8350401",0,0,18918398,6,,boundary
Pa Tio District,Pa Tio District,อำเภอป่าติ้ว,"104.2693249,15.7375598,104.5059744,15.9940305",0,0,18918405,6,,boundary
Mueang Uttaradit District,Mueang Uttaradit District,อำเภอเมืองอุตรดิตถ์,"99.9952738,17.5102936,100.4126683,17.8601184",0,0,18918456,6,,boundary
Nong Don District,Nong Don District,อำเภอหนองโดน,"100.6290654,14.6343111,100.7606311,14.7602386",0,0,18918459,6,,boundary
